DATE,LATITUDE_A,LONGITUDE_A,ELEVATION_A,PRCP_A,SNWD_A,tmax_A,tmin_A,Tavg_A,LATITUDE_B,LONGITUDE_B,ELEVATION_B,PRCP_B,SNWD_B,tmax_b,tmin_b,Tavg_B,LONGITUDE,LATITUDE,TAVG,ELEVATION
1974-08-09,63.88,77.52,128,0.0,0.0,102.22,34.1,68.16,62.95,79.82,66,0,0.0,32.96,14.48,23.72,78.733,63.933,24.7,63
1974-08-10,63.88,77.52,128,0.0,0.0,39.36143659711075,19.565786516853933,29.4,62.95,79.82,66,0,0.0,43.92,36.81,40.365,78.733,63.933,24.8,63
1974-08-11,63.88,77.52,128,0.0,2.89,34.1,26.379999999999995,30.24,62.95,79.82,66,0,0.0,35.31,15.76,25.535,78.733,63.933,24.8,63
1974-10-06,63.88,77.52,128,0.0,0.0,24.2,7.0,15.6,62.95,79.82,66,0,0.0,49.76,2.32,26.04,78.733,63.933,15.7,63
1975-01-28,63.88,77.52,128,0.0,0.0,-2.2,-7.3999999999999995,-4.8,62.95,79.82,66,0,0.0,3.32,-6.8,-1.74,78.733,63.933,-4.2,63
1975-02-17,63.88,77.52,128,0.0,0.0,4.4,-6.32,-0.96,62.95,79.82,66,0,0.0,10.7,-6.16,2.2699999999999996,78.733,63.933,-3.5,63
1975-03-19,63.88,77.52,128,0.0,0.0,37.5,-16.38,10.56,62.95,79.82,66,0,0.0,26.75,5.36,16.055,78.733,63.933,2.8,63
1975-03-28,63.88,77.52,128,0.0,0.0,19.8,4.3,12.05,62.95,79.82,66,0,0.0,26.43,6.16,16.295,78.733,63.933,7.4,63
1975-03-29,63.88,77.52,128,0.0,0.0,21.001436597110754,1.205786516853932,11.04,62.95,79.82,66,30,3.77,19.69,3.44,11.565000000000001,78.733,63.933,6.2,63
1975-03-30,63.88,77.52,128,15.0,0.0,12.1,3.5,7.8,62.95,79.82,66,150,0.0,11.45,3.68,7.5649999999999995,78.733,63.933,5.5,63
1975-03-31,63.88,77.52,128,20.0,0.0,18.361436597110753,-1.434213483146067,8.4,62.95,79.82,66,56,0.0,35.74,1.92,18.830000000000002,78.733,63.933,6.0,63
1975-04-01,63.88,77.52,128,0.0,0.0,15.4,0.86,8.13,62.95,79.82,66,0,0.0,10.81,1.52,6.165,78.733,63.933,6.2,63
1975-04-05,63.88,77.52,128,0.0,3.18,25.3,-2.0199999999999996,11.64,62.95,79.82,66,0,0.0,22.26,1.36,11.81,78.733,63.933,7.6,63
1975-04-18,63.88,77.52,128,0.0,0.0,26.521436597110753,6.7257865168539315,16.56,62.95,79.82,66,0,3.96,22.26,8.08,15.170000000000002,78.733,63.933,11.8,63
1975-04-26,63.88,77.52,128,0.0,0.0,23.1,21.76,22.43,62.95,79.82,66,0,0.0,26.75,3.6,15.175,78.733,63.933,11.8,63
1975-05-22,63.88,77.52,128,0.0,0.0,26.740000000000002,11.18,18.96,62.95,79.82,66,11,0.0,31.03,13.68,22.355,78.733,63.933,14.7,63
1975-06-10,63.88,77.52,128,0.0,0.0,38.76143659711076,18.96578651685393,28.8,62.95,79.82,66,0,0.0,37.13,12.08,24.605,78.733,63.933,23.5,63
1975-06-17,63.88,77.52,128,0.0,0.0,39.36143659711075,19.565786516853933,29.4,62.95,79.82,66,0,0.0,36.92,14.48,25.700000000000003,78.733,63.933,24.3,63
1975-06-29,63.88,77.52,128,0.0,0.0,38.5,26.299999999999997,32.4,62.95,79.82,66,0,0.0,38.52,14.96,26.740000000000002,78.733,63.933,25.6,63
1975-07-02,63.88,77.52,128,0.0,0.0,53.28,20.64,36.96,62.95,79.82,66,0,0.0,42.8,39.12,40.959999999999994,78.733,63.933,28.8,63
1975-07-03,63.88,77.52,128,0.0,0.0,53.92,12.560000000000002,33.24,62.95,79.82,66,0,0.0,42.26,36.4,39.33,78.733,63.933,28.0,63
1975-07-10,63.88,77.52,128,0.0,0.0,66.42,18.06,42.24,62.95,79.82,66,0,0.0,44.4,15.28,29.84,78.733,63.933,30.5,63
1975-07-11,63.88,77.52,128,0.0,0.0,58.08,20.64,39.36,62.95,79.82,66,0,0.0,46.87,19.36,33.114999999999995,78.733,63.933,29.2,63
1975-07-14,63.88,77.52,128,0.0,0.0,40.96,13.76,27.36,62.95,79.82,66,0,0.0,59.39,16.88,38.135,78.733,63.933,26.2,63
1975-07-22,63.88,77.52,128,0.0,0.0,46.92,15.48,31.200000000000003,62.95,79.82,66,0,0.0,35.84,14.08,24.96,78.733,63.933,26.2,63
1975-07-24,63.88,77.52,128,0.0,0.0,46.92,13.76,31.200000000000003,62.95,79.82,66,0,0.0,36.92,13.52,25.22,78.733,63.933,26.0,63
1975-07-25,63.88,77.52,128,0.0,0.0,53.64,15.48,34.56,62.95,79.82,66,0,0.0,76.51,14.48,45.495000000000005,78.733,63.933,27.2,63
1975-07-26,63.88,77.52,128,0.0,0.0,83.49,15.48,49.485,62.95,79.82,66,0,0.0,40.45,15.68,28.065,78.733,63.933,26.5,63
1975-08-03,63.88,77.52,128,0.0,0.0,39.6,18.92,29.26,62.95,79.82,66,0,0.0,39.52,37.45,38.485,78.733,63.933,27.5,63
1975-08-06,63.88,77.52,128,0.0,3.59,47.40143659711075,27.605786516853932,37.44,62.95,79.82,66,0,0.0,71.16,16.16,43.66,78.733,63.933,30.0,63
1975-08-09,63.88,77.52,128,0.0,0.0,36.961436597110755,17.165786516853935,27.0,62.95,79.82,66,0,0.0,35.2,14.48,24.840000000000003,78.733,63.933,24.6,63
1975-08-10,63.88,77.52,128,0.0,0.0,46.08,10.32,28.2,62.95,79.82,66,0,0.0,33.71,12.08,22.895,78.733,63.933,24.8,63
1975-08-12,63.88,77.52,128,0.0,0.0,33.0,19.32,26.16,62.95,79.82,66,0,0.0,37.34,18.16,27.75,78.733,63.933,24.3,63
1975-08-13,63.88,77.52,128,0.0,2.15,42.300000000000004,12.9,27.6,62.95,79.82,66,0,0.0,32.31,13.68,22.995,78.733,63.933,24.5,63
1975-08-16,63.88,77.52,128,0.0,0.0,27.5,20.020000000000003,23.76,62.95,79.82,66,0,0.0,30.17,15.28,22.725,78.733,63.933,22.0,63
1975-09-05,63.88,77.52,128,0.0,0.0,33.0,13.079999999999998,23.04,62.95,79.82,66,0,0.0,29.96,11.36,20.66,78.733,63.933,22.7,63
1975-09-06,63.88,77.52,128,0.0,0.0,30.601436597110755,10.805786516853933,20.64,62.95,79.82,66,0,0.0,27.82,6.4,17.11,78.733,63.933,21.2,63
1975-09-09,63.88,77.52,128,0.0,0.0,31.0,8.6,19.8,62.95,79.82,66,0,0.0,31.56,8.88,20.22,78.733,63.933,20.0,63
1975-09-14,63.88,77.52,128,0.0,0.0,30.361436597110753,10.565786516853931,20.4,62.95,79.82,66,16,0.0,31.89,11.28,21.585,78.733,63.933,19.3,63
1975-09-22,63.88,77.52,128,0.0,0.0,30.080000000000002,6.88,18.48,62.95,79.82,66,0,0.0,30.5,8.88,19.69,78.733,63.933,22.2,63
1975-09-27,63.88,77.52,128,0.0,0.0,27.5,6.02,16.759999999999998,62.95,79.82,66,0,0.0,28.25,7.28,17.765,78.733,63.933,19.2,63
1975-10-07,63.88,77.52,128,0.0,0.0,20.9,11.020000000000003,15.96,62.95,79.82,66,0,0.0,49.43,6.32,27.875,78.733,63.933,17.2,63
