DATE,LATITUDE_B,LONGITUDE_B,ELEVATION_B,PRCP_B,SNWD_B,tmax_b,tmin_b,Tavg_B,LATITUDE_C,LONGITUDE_C,ELEVATION_C,PRCP_C,SNWD_C,tmax_c,tmin_c,Tavg_C,LONGITUDE,LATITUDE,TAVG,ELEVATION
1974-08-09,62.95,79.82,66,0,0.0,32.96,14.48,23.72,63.08,78.93,64,0.0,0.0,0.0,0.0,0.0,78.733,63.933,24.7,63
1974-08-10,62.95,79.82,66,0,0.0,43.92,36.81,40.365,63.08,78.93,64,0.0,0.0,40.32192996742671,18.197027687296416,29.4,78.733,63.933,24.8,63
1974-08-11,62.95,79.82,66,0,0.0,35.31,15.76,25.535,63.08,78.93,64,0.0,0.0,36.3,30.900000000000006,33.6,78.733,63.933,24.8,63
1974-10-06,62.95,79.82,66,0,0.0,49.76,2.32,26.04,63.08,78.93,64,0.0,0.0,36.3,30.900000000000006,33.6,78.733,63.933,15.7,63
1975-01-28,62.95,79.82,66,0,0.0,3.32,-6.8,-1.74,63.08,78.93,64,0.0,0.0,5.521929967426711,-16.602972312703585,-5.4,78.733,63.933,-4.2,63
1975-02-17,62.95,79.82,66,0,0.0,10.7,-6.16,2.2699999999999996,63.08,78.93,64,0.0,0.0,5.521929967426711,-16.602972312703585,-5.4,78.733,63.933,-3.5,63
1975-03-19,62.95,79.82,66,0,0.0,26.75,5.36,16.055,63.08,78.93,64,0.0,0.0,20.42,1.9,11.16,78.733,63.933,2.8,63
1975-03-28,62.95,79.82,66,0,0.0,26.43,6.16,16.295,63.08,78.93,64,0.0,0.0,20.42,1.9,11.16,78.733,63.933,7.4,63
1975-03-29,62.95,79.82,66,30,3.77,19.69,3.44,11.565000000000001,63.08,78.93,64,17.0,0.0,9.9,5.699999999999999,7.8,78.733,63.933,6.2,63
1975-03-30,62.95,79.82,66,150,0.0,11.45,3.68,7.5649999999999995,63.08,78.93,64,19.0,0.0,14.93,4.75,9.84,78.733,63.933,5.5,63
1975-03-31,62.95,79.82,66,56,0.0,35.74,1.92,18.830000000000002,63.08,78.93,64,17.0,0.0,13.2,1.92,7.56,78.733,63.933,6.0,63
